Invoice No,Date,Due Date,Shipment,Consol,PO,Consignor,Origin,Destination,ETA,Total Pkgs,Charge Code,Description,Details,Qty,Currency,Rate,Conversion Rate,GST Y/N,Amount (Ex GST),GST,Amount (Inc GST),Invoice Total (Ex GST),Invoice Total (Inc GST)
02723823,12-Nov-25,30-Dec-25,S01508798,C00971682,4626,V.U.A AGRI CORP,Ho Chi Minh City,Melbourne,13-Nov-25,,IFRT,Freight Fee,"2 20GP @ USD 1220.00/CN USD 2,440.00 @ Zero Rated",2.0,USD,1220.0,0.613655,N,3976.18,0.0,3976.18,7778.88,8159.15
02723823,12-Nov-25,30-Dec-25,S01508798,C00971682,4626,V.U.A AGRI CORP,Ho Chi Minh City,Melbourne,13-Nov-25,,DHDL,Port Service Charges,2 20GP @ AUD 680.00/CN 10%=136.00,2.0,AUD,680.0,1.0,Y,1360.0,136.0,1496.0,7778.88,8159.15
02723823,12-Nov-25,30-Dec-25,S01508798,C00971682,4626,V.U.A AGRI CORP,Ho Chi Minh City,Melbourne,13-Nov-25,,DHDL,Documentation Fee,1 Shipment @ AUD 135.00/Shipment 10%=13.50,1.0,AUD,135.0,1.0,Y,135.0,13.5,148.5,7778.88,8159.15
02723823,12-Nov-25,30-Dec-25,S01508798,C00971682,4626,V.U.A AGRI CORP,Ho Chi Minh City,Melbourne,13-Nov-25,,DBRK,Customs Clearance Fee,1 Shipment @ AUD 10%=8.50,1.0,AUD,0.0,1.0,Y,85.0,8.5,93.5,7778.88,8159.15
02723823,12-Nov-25,30-Dec-25,S01508798,C00971682,4626,V.U.A AGRI CORP,Ho Chi Minh City,Melbourne,13-Nov-25,,DHDL,CMR Fee,1 Shipment @ AUD 30.00/Shipment 10%=3.00,1.0,AUD,30.0,1.0,Y,30.0,3.0,33.0,7778.88,8159.15
02723823,12-Nov-25,30-Dec-25,S01508798,C00971682,4626,V.U.A AGRI CORP,Ho Chi Minh City,Melbourne,13-Nov-25,,DTRN,"terminal infrastructure, intermodal levy, energy 10%=85.00",,1.0,AUD,0.0,1.0,Y,850.0,85.0,935.0,7778.88,8159.15
02723823,12-Nov-25,30-Dec-25,S01508798,C00971682,4626,V.U.A AGRI CORP,Ho Chi Minh City,Melbourne,13-Nov-25,,DTRN,Cartage via Yard,2 20GP @ AUD 365.00/CN 10%=73.00,2.0,AUD,365.0,1.0,Y,730.0,73.0,803.0,7778.88,8159.15
02723823,12-Nov-25,30-Dec-25,S01508798,C00971682,4626,V.U.A AGRI CORP,Ho Chi Minh City,Melbourne,13-Nov-25,,DTRN,Cartage Fuel Levy,19.00% of (AUD 730.00 (DTRNCTY)) 10%=13.87,1.0,AUD,0.0,1.0,Y,138.7,13.87,152.57,7778.88,8159.15
02723823,12-Nov-25,30-Dec-25,S01508798,C00971682,4626,V.U.A AGRI CORP,Ho Chi Minh City,Melbourne,13-Nov-25,,DTRN,"Timeslot Booking Fee (VBS, CBS)",2 20GP @ AUD 10%=47.40,2.0,AUD,0.0,1.0,Y,474.0,47.4,521.4,7778.88,8159.15
02733707,25-Nov-25,30-Dec-25,S01522336,C00979932,4677,V.U.A AGRI CORP,Ho Chi Minh City,Sydney,25-Nov-25,1408,IFRT,Freight Fee,"1 20GP @ USD 1350.00/CN USD 1,350.00 @ Zero Rated",1.0,USD,1350.0,0.612572,N,2203.82,0.0,2203.82,4776.82,5012.12
02733707,25-Nov-25,30-Dec-25,S01522336,C00979932,4677,V.U.A AGRI CORP,Ho Chi Minh City,Sydney,25-Nov-25,1408,DHDL,Port Service Charges,1 20GP @ AUD 680.00/CN 10%=68.00,1.0,AUD,680.0,1.0,Y,680.0,68.0,748.0,4776.82,5012.12
02733707,25-Nov-25,30-Dec-25,S01522336,C00979932,4677,V.U.A AGRI CORP,Ho Chi Minh City,Sydney,25-Nov-25,1408,DHDL,Documentation Fee,1 Shipment @ AUD 135.00/Shipment 10%=13.50,1.0,AUD,135.0,1.0,Y,135.0,13.5,148.5,4776.82,5012.12
02733707,25-Nov-25,30-Dec-25,S01522336,C00979932,4677,V.U.A AGRI CORP,Ho Chi Minh City,Sydney,25-Nov-25,1408,DBRK,Customs Clearance Fee,1 Shipment @ AUD 10%=8.50,1.0,AUD,0.0,1.0,Y,85.0,8.5,93.5,4776.82,5012.12
02733707,25-Nov-25,30-Dec-25,S01522336,C00979932,4677,V.U.A AGRI CORP,Ho Chi Minh City,Sydney,25-Nov-25,1408,DHDL,CMR Fee,1 Shipment @ AUD 30.00/Shipment 10%=3.00,1.0,AUD,30.0,1.0,Y,30.0,3.0,33.0,4776.82,5012.12
02733707,25-Nov-25,30-Dec-25,S01522336,C00979932,4677,V.U.A AGRI CORP,Ho Chi Minh City,Sydney,25-Nov-25,1408,DTRN,"terminal infrastructure, intermodal levy, energy 10%=37.70",,1.0,AUD,0.0,1.0,Y,377.0,37.7,414.7,4776.82,5012.12
02733707,25-Nov-25,30-Dec-25,S01522336,C00979932,4677,V.U.A AGRI CORP,Ho Chi Minh City,Sydney,25-Nov-25,1408,DTRN,Cartage Fee,1 20GP @ AUD 580.00/CN 10%=58.00,1.0,AUD,580.0,1.0,Y,580.0,58.0,638.0,4776.82,5012.12
02733707,25-Nov-25,30-Dec-25,S01522336,C00979932,4677,V.U.A AGRI CORP,Ho Chi Minh City,Sydney,25-Nov-25,1408,DTRN,Cartage Fuel Levy,20.00% of (AUD 580.00 (DTRNCTG)) 10%=11.60,1.0,AUD,0.0,1.0,Y,116.0,11.6,127.6,4776.82,5012.12
02733707,25-Nov-25,30-Dec-25,S01522336,C00979932,4677,V.U.A AGRI CORP,Ho Chi Minh City,Sydney,25-Nov-25,1408,DTRN,"Timeslot Booking Fee (VBS, CBS)",1 20GP @ AUD 10%=35.00,1.0,AUD,0.0,1.0,Y,350.0,35.0,385.0,4776.82,5012.12
02733707,25-Nov-25,30-Dec-25,S01522336,C00979932,4677,V.U.A AGRI CORP,Ho Chi Minh City,Sydney,25-Nov-25,1408,DGOV,Customs Disbursements Exempt Rated,,1.0,AUD,0.0,1.0,N,220.0,0.0,220.0,4776.82,5012.12
